Month,Revenue
2015-01,50469.88
2015-02,44206.41
2015-03,53748.67
2015-04,53906.87
2015-05,49394.19
2015-06,50689.69
2015-07,37249.26
2015-08,60523.98
2015-09,62166.08
2015-10,59345.82
2015-11,78532.79
2015-12,82377.7
2016-01,66044.33
2016-02,45574.33
2016-03,48336.06
2016-04,39684.87
2016-05,40706.97
2016-06,26074.39
2016-07,31357.97
2016-08,37919.3
2016-09,41014.33
2016-10,41345.46
2016-11,41009.73
2016-12,42130.48
2017-01,37306.85
2017-02,51107.08
2017-03,45322.07
2017-04,47534.44
2017-05,46049.53
2017-06,39587.94
2017-07,39949.46
2017-08,36635.72
2017-09,48564.64
2017-10,44900.72
2017-11,45540.52
2017-12,76386.92
2018-01,85382.12
